estimators,max_depth,backend,threads,nodes,dataset,accuracy,f1,train_time,predict_time
64,0,mpi,16,6,breast_cancer,0.946903,0.936895,6.67809,26.38706
64,0,mpi,16,8,breast_cancer,0.955752,0.947845,6.661848000000001,12.61862
64,0,mpi,32,2,breast_cancer,0.964602,0.958608,10.92604,10.95856
64,0,mpi,32,4,breast_cancer,0.955752,0.94866,8.393208000000001,12.68686
64,0,mpi,32,6,breast_cancer,0.946903,0.936895,8.150148,25.59222
64,0,mpi,32,8,breast_cancer,0.955752,0.947845,8.057284,14.47586
64,0,omp,2,1,breast_cancer,0.964602,0.958608,143.0914,0.1197986
64,0,omp,2,1,magic,0.879075,0.862176,6911.986,12.99664
64,0,omp,2,1,susy_20000,0.79525,0.794577,13468.579999999998,15.34292
64,0,omp,4,1,breast_cancer,0.964602,0.958608,73.87276,0.133916
64,0,omp,4,1,magic,0.879075,0.862176,3553.446,7.225562000000001
64,0,omp,4,1,susy_20000,0.79525,0.794577,6787.2300000000005,8.087846
64,0,omp,8,1,breast_cancer,0.964602,0.958608,38.85504,0.125217
64,0,omp,8,1,magic,0.879075,0.862176,1824.464,4.074994
64,0,omp,8,1,susy_20000,0.79525,0.794577,3579.846,4.8736820000000005
64,0,omp,16,1,breast_cancer,0.964602,0.958608,20.75114,0.0853236
64,0,omp,16,1,magic,0.879075,0.862176,931.6298,2.0825780000000003
64,0,omp,16,1,susy_20000,0.79525,0.794577,1811.14,2.77536
64,0,omp,32,1,breast_cancer,0.964602,0.958608,19.73734,0.1105152
64,0,omp,32,1,magic,0.879075,0.862176,665.115,1.7667000000000002
64,0,seq,1,1,breast_cancer,0.964602,0.958608,271.4218,0.1825916
64,0,seq,1,1,magic,0.879075,0.862176,13193.22,23.95988
64,0,seq,1,1,susy_20000,0.79525,0.794577,25681.32,27.81816
128,0,ff,2,1,breast_cancer,0.964602,0.958608,322.30740000000003,0.8380628
128,0,ff,4,1,breast_cancer,0.964602,0.958608,165.98719999999997,1.023788
128,0,ff,8,1,breast_cancer,0.964602,0.958608,104.1442,2.2802420000000003
128,0,ff,16,1,breast_cancer,0.964602,0.958608,79.88462,4.92609
128,0,ff,32,1,breast_cancer,0.964602,0.958608,51.47203999999999,10.265764
128,0,mpi,8,2,breast_cancer,0.964602,0.958608,39.08036,11.00392
128,0,mpi,8,4,breast_cancer,0.964602,0.958608,21.88602,11.63428
128,0,mpi,8,6,breast_cancer,0.955752,0.94866,15.88406,31.17108
128,0,mpi,8,8,breast_cancer,0.955752,0.94866,11.52032,12.51972
128,0,mpi,16,2,breast_cancer,0.964602,0.958608,21.20096,10.89678
128,0,mpi,16,4,breast_cancer,0.964602,0.958608,13.3141,11.36102
128,0,mpi,16,6,breast_cancer,0.955752,0.94866,12.67988,26.340160000000004
128,0,mpi,16,8,breast_cancer,0.955752,0.94866,7.299566,12.853039999999998
128,0,mpi,32,2,breast_cancer,0.964602,0.958608,17.4112,11.122
