estimators,max_depth,backend,threads,nodes,dataset,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
32,0,mpi,4,2,iris,1,1,0.966667,0.967963,0.756334,8.76926,0.031178
256,0,ff,4,1,iris,1,1,0.966667,0.967963,8.65963,1.30302,1.08811
32,0,ff,1,1,iris,1,1,0.966667,0.967963,3.66545,0.575021,0.349542
32,0,mpi,2,2,iris,1,1,0.966667,0.967963,1.07549,9.12921,0.013717
256,0,omp,16,1,iris,1,1,0.966667,0.967963,8.12584,0.516621,0.412265
64,0,omp,32,1,iris,1,1,0.966667,0.967963,4.29995,0.788235,0.625119
32,0,mpi,1,1,iris,1,1,0.966667,0.967963,3.53219,0.120291,0.016218
64,0,ff,1,1,iris,1,1,0.966667,0.967963,7.13586,0.556723,0.383691
128,0,omp,8,1,iris,1,1,0.966667,0.967963,4.13444,0.47911,0.269269
64,0,mpi,8,1,iris,1,1,0.966667,0.967963,3.42163,0.833138,0.419595
128,0,omp,32,1,iris,1,1,0.966667,0.967963,6.10485,0.89467,0.802172
64,0,mpi,8,2,iris,1,1,0.966667,0.967963,3.1973,6.60004,1.66307
64,0,mpi,16,1,iris,1,1,0.966667,0.967963,2.83034,0.622275,0.274359
64,0,ff,4,1,iris,1,1,0.966667,0.967963,2.44585,1.07764,0.736964
64,0,omp,1,1,iris,1,1,0.966667,0.967963,7.20162,0.233943,0.061542
64,0,omp,1,1,iris,1,1,0.966667,0.967963,6.5307,0.209737,0.058182
32,0,mpi,1,1,iris,1,1,0.966667,0.967963,3.40823,0.071312,0.016229
